Radius;discrGrade;pointsCount;routedDist;Time;Latitude;Longtitude
300;1;53;688,4;2353;52,49;13,3
300;2;50;688,4;370;52,49;13,3
300;3;49;688,4;333;52,49;13,3
300;4;48;688,4;483;52,49;13,3
300;5;48;688,4;542;52,49;13,3
300;6;48;688,4;425;52,49;13,3
300;7;48;688,4;343;52,49;13,3
300;8;48;688,4;326;52,49;13,3
300;9;48;688,4;320;52,49;13,3
300;10;48;688,4;327;52,49;13,3
300;11;48;688,4;305;52,49;13,3
300;12;48;688,4;307;52,49;13,3
300;13;48;688,4;401;52,49;13,3
300;14;48;688,4;314;52,49;13,3
300;1;261;226,2;665;52,49;13,31
300;2;167;226,2;624;52,49;13,31
300;3;143;226,2;586;52,49;13,31
300;4;129;226,2;552;52,49;13,31
300;5;123;226,2;588;52,49;13,31
300;6;116;226,2;662;52,49;13,31
300;7;114;226,2;817;52,49;13,31
300;8;112;226,2;612;52,49;13,31
300;9;111;226,2;596;52,49;13,31
300;10;111;226,2;622;52,49;13,31
300;11;111;226,2;569;52,49;13,31
300;12;111;226,2;593;52,49;13,31
300;13;111;226,2;604;52,49;13,31
300;14;111;226,2;570;52,49;13,31
200;1;610;212,4;1031;52,49;13,32
200;2;367;212,4;914;52,49;13,32
200;3;298;212,4;1036;52,49;13,32
200;4;263;212,4;1150;52,49;13,32
200;5;246;212,4;1092;52,49;13,32
200;6;235;212,4;913;52,49;13,32
200;7;228;212,4;1022;52,49;13,32
200;8;222;212,4;957;52,49;13,32
200;9;219;212,4;948;52,49;13,32
200;10;217;212,4;931;52,49;13,32
200;11;216;212,4;980;52,49;13,32
200;12;214;212,4;948;52,49;13,32
200;13;214;212,4;957;52,49;13,32
200;14;214;212,4;1006;52,49;13,32
200;1;913;61,8;1026;52,49;13,33
200;2;535;61,8;947;52,49;13,33
200;3;408;61,8;936;52,49;13,33
200;4;349;61,8;935;52,49;13,33
200;5;314;61,8;947;52,49;13,33
200;6;288;61,8;1144;52,49;13,33
200;7;274;61,8;925;52,49;13,33
200;8;263;61,8;935;52,49;13,33
200;9;257;61,8;958;52,49;13,33
200;10;249;61,8;946;52,49;13,33
200;11;246;61,8;1040;52,49;13,33
200;12;242;61,8;943;52,49;13,33
200;13;241;61,8;940;52,49;13,33
200;14;240;61,8;936;52,49;13,33
200;1;1007;11,4;1677;52,49;13,34
200;2;665;11,4;1565;52,49;13,34
200;3;548;11,4;1538;52,49;13,34
200;4;497;11,4;1584;52,49;13,34
200;5;464;11,4;1577;52,49;13,34
200;6;444;11,4;1658;52,49;13,34
200;7;432;11,4;1604;52,49;13,34
200;8;420;11,4;1678;52,49;13,34
200;9;412;11,4;1684;52,49;13,34
200;10;407;11,4;1577;52,49;13,34
200;11;402;11,4;1942;52,49;13,34
200;12;398;11,4;2127;52,49;13,34
200;13;395;11,4;2167;52,49;13,34
200;14;392;11,4;1835;52,49;13,34
200;1;871;6,9;1011;52,49;13,35
200;2;509;6,9;1034;52,49;13,35
200;3;390;6,9;941;52,49;13,35
200;4;333;6,9;1028;52,49;13,35
200;5;305;6,9;997;52,49;13,35
200;6;283;6,9;1019;52,49;13,35
200;7;272;6,9;995;52,49;13,35
200;8;257;6,9;1039;52,49;13,35
200;9;253;6,9;969;52,49;13,35
200;10;247;6,9;1000;52,49;13,35
200;11;241;6,9;1023;52,49;13,35
200;12;236;6,9;1024;52,49;13,35
200;13;236;6,9;1133;52,49;13,35
200;14;234;6,9;1108;52,49;13,35
200;1;758;0,4;613;52,49;13,36
200;2;382;0,4;416;52,49;13,36
200;3;261;0,4;450;52,49;13,36
200;4;201;0,4;428;52,49;13,36
200;5;167;0,4;506;52,49;13,36
200;6;151;0,4;450;52,49;13,36
200;7;133;0,4;537;52,49;13,36
200;8;123;0,4;470;52,49;13,36
200;9;113;0,4;507;52,49;13,36
200;10;107;0,4;482;52,49;13,36
200;11;106;0,4;521;52,49;13,36
200;12;102;0,4;528;52,49;13,36
200;13;98;0,4;470;52,49;13,36
200;14;96;0,4;439;52,49;13,36
200;1;465;0;582;52,49;13,37
200;2;263;0;513;52,49;13,37
200;3;204;0;619;52,49;13,37
200;4;170;0;555;52,49;13,37
200;5;152;0;537;52,49;13,37
200;6;142;0;596;52,49;13,37
200;7;135;0;528;52,49;13,37
200;8;128;0;559;52,49;13,37
200;9;124;0;538;52,49;13,37
200;10;121;0;559;52,49;13,37
200;11;120;0;521;52,49;13,37
200;12;118;0;552;52,49;13,37
200;13;118;0;487;52,49;13,37
