Radius;discrGrade;pointsCount;routedDist;Time;Latitude;Longtitude
200;1;112;28231,3;4459;52,49;13,3
200;2;57;28231,3;360;52,49;13,3
200;3;39;28231,3;392;52,49;13,3
200;4;32;28231,3;516;52,49;13,3
200;5;28;28231,3;383;52,49;13,3
200;6;24;28231,3;383;52,49;13,3
200;7;23;28231,3;408;52,49;13,3
200;8;21;28231,3;401;52,49;13,3
200;9;20;28231,3;393;52,49;13,3
200;10;20;28231,3;400;52,49;13,3
200;11;19;28231,3;363;52,49;13,3
200;12;19;28231,3;385;52,49;13,3
200;13;19;28231,3;405;52,49;13,3
200;14;18;28231,3;419;52,49;13,3
200;1;112;28231,3;1625;52,49;13,3
200;2;57;28231,3;686;52,49;13,3
200;3;39;28231,3;478;52,49;13,3
200;4;32;28231,3;593;52,49;13,3
200;5;28;28231,3;677;52,49;13,3
200;6;24;28231,3;410;52,49;13,3
200;7;23;28231,3;388;52,49;13,3
200;8;21;28231,3;401;52,49;13,3
200;9;20;28231,3;419;52,49;13,3
200;10;20;28231,3;381;52,49;13,3
200;11;19;28231,3;416;52,49;13,3
200;12;19;28231,3;425;52,49;13,3
200;13;19;28231,3;369;52,49;13,3
200;14;18;28231,3;399;52,49;13,3
200;1;112;27486,2;1295;52,49;13,31
200;2;57;27486,2;580;52,49;13,31
200;3;39;27486,2;483;52,49;13,31
200;4;32;27486,2;460;52,49;13,31
200;5;28;27486,2;411;52,49;13,31
200;6;24;27486,2;404;52,49;13,31
200;7;23;27486,2;462;52,49;13,31
200;8;21;27486,2;424;52,49;13,31
200;9;20;27486,2;547;52,49;13,31
200;10;20;27486,2;481;52,49;13,31
200;11;19;27486,2;508;52,49;13,31
200;12;19;27486,2;707;52,49;13,31
200;13;19;27486,2;548;52,49;13,31
200;14;18;27486,2;391;52,49;13,31
200;1;112;26900,7;865;52,49;13,32
200;2;57;26900,7;397;52,49;13,32
200;3;39;26900,7;406;52,49;13,32
200;4;32;26900,7;483;52,49;13,32
200;5;28;26900,7;434;52,49;13,32
200;6;24;26900,7;369;52,49;13,32
200;7;23;26900,7;374;52,49;13,32
200;8;21;26900,7;393;52,49;13,32
200;9;20;26900,7;366;52,49;13,32
200;10;20;26900,7;395;52,49;13,32
200;11;19;26900,7;381;52,49;13,32
200;12;19;26900,7;420;52,49;13,32
200;13;19;26900,7;397;52,49;13,32
200;14;18;26900,7;418;52,49;13,32
200;1;112;26193,9;427;52,49;13,33
200;2;57;26193,9;357;52,49;13,33
200;3;39;26193,9;386;52,49;13,33
200;4;32;26193,9;423;52,49;13,33
200;5;28;26193,9;410;52,49;13,33
200;6;24;26193,9;371;52,49;13,33
200;7;23;26193,9;353;52,49;13,33
200;8;21;26193,9;387;52,49;13,33
200;9;20;26193,9;402;52,49;13,33
200;10;20;26193,9;397;52,49;13,33
200;11;19;26193,9;351;52,49;13,33
200;12;19;26193,9;385;52,49;13,33
200;13;19;26193,9;425;52,49;13,33
200;14;18;26193,9;393;52,49;13,33
200;1;112;25524,1;446;52,49;13,34
200;2;57;25524,1;393;52,49;13,34
200;3;39;25524,1;405;52,49;13,34
200;4;32;25524,1;375;52,49;13,34
200;5;28;25524,1;363;52,49;13,34
200;6;24;25524,1;403;52,49;13,34
